epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,2965.19,1.15056,0.89807,1.43909,0.87567,0.87438,0.92716,0.62029,1.23264,0.63874,1.41866,0.00931195,0.00931195,0.00931195
141,2986.36,1.14843,0.88976,1.41286,0.84507,0.90559,0.93179,0.6096,1.25624,0.63892,1.4348,0.009307,0.009307,0.009307
142,3007.93,1.14778,0.90826,1.41025,0.82422,0.92068,0.9333,0.63315,1.19101,0.63728,1.39159,0.00930205,0.00930205,0.00930205
143,3028.35,1.13002,0.87368,1.39438,0.8438,0.90616,0.93698,0.62666,1.22224,0.63698,1.4003,0.0092971,0.0092971,0.0092971
144,3049.88,1.11286,0.88746,1.39569,0.8574,0.91314,0.94244,0.63895,1.19333,0.6202,1.3974,0.00929215,0.00929215,0.00929215
145,3070.42,1.17708,0.91303,1.44231,0.86577,0.9057,0.93776,0.66063,1.10764,0.59315,1.34068,0.0092872,0.0092872,0.0092872
146,3091.47,1.12958,0.87077,1.40201,0.85367,0.89728,0.93126,0.64687,1.12315,0.61373,1.34406,0.00928225,0.00928225,0.00928225
147,3112.1,1.13217,0.87249,1.40352,0.85439,0.90432,0.9359,0.66501,1.09463,0.61601,1.31986,0.0092773,0.0092773,0.0092773
148,3132.9,1.16343,0.88864,1.43075,0.88787,0.86782,0.93046,0.6477,1.18725,0.62769,1.37805,0.00927235,0.00927235,0.00927235
149,3154.39,1.1775,0.91554,1.44441,0.86782,0.8754,0.93416,0.6718,1.07171,0.62184,1.31307,0.0092674,0.0092674,0.0092674
150,3175.6,1.15054,0.89688,1.41903,0.84537,0.91016,0.93836,0.65081,1.12977,0.62248,1.33361,0.00926245,0.00926245,0.00926245
151,3197.14,1.11531,0.86857,1.39529,0.86041,0.88548,0.92947,0.65461,1.0934,0.62554,1.30931,0.0092575,0.0092575,0.0092575
152,3217.54,1.13579,0.85733,1.39924,0.86115,0.91295,0.92582,0.65765,1.06713,0.62214,1.31523,0.00925255,0.00925255,0.00925255
153,3239.11,1.12672,0.87865,1.40465,0.84418,0.89798,0.92699,0.66632,1.06531,0.63586,1.32715,0.0092476,0.0092476,0.0092476
154,3259.56,1.14592,0.89487,1.42341,0.89753,0.88545,0.93917,0.62387,1.24245,0.62395,1.43539,0.00924265,0.00924265,0.00924265
155,3281.02,1.13721,0.88742,1.40832,0.87062,0.88671,0.92486,0.63358,1.15116,0.67199,1.3809,0.0092377,0.0092377,0.0092377
156,3301.88,1.13778,0.88751,1.41566,0.90068,0.87552,0.93316,0.66369,1.0893,0.60317,1.3321,0.00923275,0.00923275,0.00923275
157,3323.32,1.11178,0.86654,1.39911,0.88133,0.861,0.93288,0.6547,1.1093,0.62659,1.35176,0.0092278,0.0092278,0.0092278
158,3344.67,1.15625,0.87461,1.43102,0.82855,0.89671,0.92211,0.65202,1.13008,0.67687,1.35677,0.00922285,0.00922285,0.00922285
159,3365.85,1.15918,0.87838,1.42904,0.83328,0.8499,0.9049,0.63676,1.14519,0.72739,1.37765,0.0092179,0.0092179,0.0092179
160,3387.05,1.15517,0.8942,1.41065,0.84415,0.87916,0.93114,0.66559,1.12572,0.65234,1.3484,0.00921295,0.00921295,0.00921295
161,3407.82,1.11868,0.85507,1.39414,0.85342,0.87621,0.93482,0.66438,1.12229,0.63155,1.35884,0.009208,0.009208,0.009208
162,3429.64,1.15484,0.89482,1.42266,0.91088,0.83763,0.93226,0.67016,1.08453,0.61871,1.32949,0.00920305,0.00920305,0.00920305
163,3449.99,1.12088,0.85701,1.38848,0.89667,0.88577,0.9346,0.66227,1.08628,0.63459,1.33296,0.0091981,0.0091981,0.0091981
164,3471.41,1.15782,0.87345,1.42001,0.91874,0.85646,0.93416,0.67103,1.05624,0.61403,1.30385,0.00919315,0.00919315,0.00919315
165,3492.11,1.14328,0.90644,1.41379,0.88717,0.89146,0.94192,0.66884,1.08241,0.60486,1.32656,0.0091882,0.0091882,0.0091882
166,3513.72,1.14294,0.8649,1.40947,0.88695,0.87537,0.93951,0.68086,1.03841,0.61052,1.28878,0.00918325,0.00918325,0.00918325
167,3534.83,1.14778,0.89072,1.41716,0.85389,0.86615,0.92024,0.65675,1.07978,0.64968,1.32044,0.0091783,0.0091783,0.0091783
168,3556.11,1.11372,0.84559,1.38722,0.87591,0.8523,0.92111,0.64222,1.13706,0.68546,1.38064,0.00917335,0.00917335,0.00917335
169,3577.06,1.1215,0.85307,1.39136,0.84901,0.86406,0.91378,0.64683,1.11426,0.66266,1.35503,0.0091684,0.0091684,0.0091684
170,3597.99,1.13818,0.86236,1.40524,0.81963,0.92071,0.93127,0.66306,1.13286,0.63189,1.34034,0.00916345,0.00916345,0.00916345
171,3619.52,1.1512,0.86538,1.41474,0.88212,0.8855,0.93903,0.66026,1.13016,0.60118,1.34401,0.0091585,0.0091585,0.0091585
172,3640.29,1.13102,0.89145,1.4037,0.81456,0.92444,0.93524,0.64962,1.15306,0.64714,1.3719,0.00915355,0.00915355,0.00915355
173,3661.71,1.13446,0.88832,1.41131,0.85286,0.89776,0.9296,0.66869,1.12435,0.61348,1.36587,0.0091486,0.0091486,0.0091486
174,3682.54,1.11609,0.87235,1.40421,0.85661,0.90123,0.93578,0.6668,1.12902,0.58209,1.3564,0.00914365,0.00914365,0.00914365
175,3703.98,1.13129,0.84909,1.40089,0.8547,0.91371,0.93618,0.66125,1.12694,0.60829,1.352,0.0091387,0.0091387,0.0091387
176,3724.75,1.12158,0.86718,1.38555,0.88605,0.88332,0.93839,0.6531,1.12646,0.5925,1.35443,0.00913375,0.00913375,0.00913375
177,3746.13,1.08703,0.84679,1.36591,0.87807,0.9029,0.92986,0.65094,1.14327,0.59979,1.38092,0.0091288,0.0091288,0.0091288
178,3767.24,1.12037,0.87802,1.39951,0.86012,0.90075,0.93823,0.66198,1.09384,0.60568,1.33172,0.00912385,0.00912385,0.00912385
